(109, 66, 5)
(109, 66, 5)
(121, 66, 10)
(121, 65, 10)
(121, 64, 10)
(121, 63, 10)
(121, 62, 10)
(121, 61, 10)
(121, 60, 10)
(121, 59, 10)
(121, 58, 10)
(121, 57, 10)
(121, 56, 10)
(121, 55, 10)
(121, 54, 10)
(119, 54, 10)
(119, 55, 10)
(119, 56, 10)
(119, 57, 10)
(119, 58, 10)
(119, 59, 10)
(119, 60, 10)
(119, 61, 10)
(119, 62, 10)
(119, 63, 10)
(119, 64, 10)
(119, 65, 10)
(119, 65, 10)
(119, 66, 10)
(119, 67, 10)
(120, 53, 15)
(120, 53, 15)
(120, 53, 16)
(120, 53, 14)
(121, 53, 15)
(119, 53, 15)
(120, 71, 12)
(119, 77, 21)
(119, 76, 21)
(119, 75, 21)
(119, 74, 21)
(121, 74, 21)
(121, 75, 21)
(121, 76, 21)
(121, 77, 21)
(120, 77, 20)
(120, 76, 20)
(120, 75, 20)
(120, 74, 20)
(120, 73, 20)
(120, 72, 20)
(120, 77, 22)
(120, 76, 22)
(120, 75, 22)
